# START,0,0,0,0,0,0
# TARGET,1.5708,0,0,0,0,0
# OBS,-0.6,-0.4,-0.6,-0.4,-1,0.5
Iter,q_0,q_1,q_2,q_3,q_4,q_5,err
245,0.217839,-0.119924,-0.215061,0.309047,0.432349,0.0961742,1.47743
246,0.367839,-0.0934208,-0.0957038,0.22239,0.27146,-8.46397e-05,1.26021
247,0.381957,-0.206876,-0.0217143,0.109595,0.267213,0.143012,1.24919
248,0.245565,-0.184271,-0.0805046,0.00714019,0.0711693,0.285771,1.37239
249,0.316587,-0.155448,-0.185599,-0.0192784,-0.128831,0.0857712,1.28685
250,0.383289,-0.0504738,-0.252882,-0.0380417,-0.0608909,0.132116,1.22445
251,0.347392,-0.130099,-0.298806,-0.215841,0.0558233,0.266777,1.31294
252,0.310228,-0.236461,-0.205438,-0.144803,-0.105705,0.0927371,1.31449
253,0.290197,-0.224012,-0.0682898,-0.140543,0.0323566,0.0435052,1.31052
254,0.372959,-0.156748,0.0496267,-0.172028,0.0351568,-0.000977489,1.22175
255,0.400679,-0.172378,-0.100373,-0.199387,0.165191,-0.0151198,1.215
256,0.354127,-0.322378,-0.104927,0.000612998,0.222035,-0.128482,1.28881
257,0.225139,-0.36176,-0.105523,-0.177074,0.0220354,0.00763786,1.40879
258,0.17463,-0.282049,0.00467156,-0.122295,-0.00682532,0.183482,1.44136
259,0.318155,-0.173523,0.0640435,-0.311277,-0.16185,0.0356939,1.31441
260,0.413875,-0.159508,-0.0138631,-0.345505,-0.209107,0.235694,1.25808
261,0.394042,-0.147811,0.0214219,-0.258246,-0.220283,0.167809,1.24516
262,0.367498,-0.297811,0.171422,-0.356749,-0.305775,0.0160495,1.3368
263,0.346372,-0.299557,0.138647,-0.156749,-0.354792,-0.0146161,1.32621
264,0.252024,-0.433825,0.0213351,-0.356749,-0.219713,0.0688444,1.45193
265,0.311834,-0.349944,-0.118937,-0.246687,-0.218541,0.0142099,1.35293
266,0.201961,-0.199944,-0.125887,-0.231216,-0.14562,0.21421,1.43181
267,0.290773,-0.211619,-0.263399,-0.405603,-0.0174956,0.0411166,1.38533
268,0.368006,-0.104525,-0.197383,-0.327946,-0.156182,0.0433457,1.27688
269,0.230519,-0.240005,-0.05058,-0.236461,-0.345203,0.0823413,1.42771
270,0.379845,-0.116011,-0.0969196,-0.276457,-0.188412,0.173776,1.25831
271,0.246889,-0.00351527,0.0530804,-0.382386,-0.0541437,0.0545842,1.38119
272,0.384099,0.138242,0.125905,-0.473011,-0.0958339,-0.0548875,1.29582
273,0.280272,0.117337,0.156206,-0.660626,-0.168497,0.100463,1.47599
274,0.430272,0.0878693,0.058691,-0.482339,-0.0137344,-0.0699358,1.24487
275,0.455817,0.0411248,0.0862798,-0.488376,0.11731,0.0219512,1.22681
276,0.387131,0.126713,0.00608425,-0.468816,0.216149,0.181903,1.31025
277,0.433438,0.0481737,-0.0072354,-0.301091,0.297527,0.167839,1.22609
278,0.419688,0.0709598,-0.0200419,-0.302492,0.306217,0.142814,1.23942
279,0.400675,0.121914,-0.170042,-0.165532,0.199581,0.308026,1.25502
280,0.293331,0.167441,-0.222652,-0.22755,0.0572782,0.372322,1.37957
281,0.143331,0.196476,-0.242016,-0.17323,0.227828,0.216607,1.50455
282,0.283931,0.29704,-0.204765,-0.0669077,0.0628335,0.183971,1.3522
283,0.317625,0.209475,-0.0547649,0.090518,0.0770546,0.254829,1.30245
284,0.29564,0.285201,-0.0126231,-0.0313622,0.0988082,0.366889,1.3612
285,0.336934,0.201881,-0.0144933,0.10345,0.0257239,0.453923,1.33446
286,0.437195,0.0895595,-0.078047,0.0420315,0.181368,0.393485,1.22011
287,0.366239,0.0307606,-0.0877183,-0.130748,0.0548277,0.466459,1.3028
288,0.299772,0.121057,0.0184804,-0.0350536,-0.0928248,0.457852,1.36014
289,0.323279,0.150405,0.0814952,-0.225228,0.0448978,0.442686,1.35435
