s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
1,89,1,108,9.1406,2.51616,4.35223,0.0159668,2.25624,0.0856932
1,88,1,111,7.86246,2.52295,2.34937,0.029662,2.96048,0.0653234
1,87,1,92,6.55667,2.11077,1.81251,0.00754914,2.62585,0.0857071
1,86,1,76,6.98255,1.7348,2.66763,0.0220842,2.55804,0.0879955
1,85,1,99,7.53455,2.37035,3.03028,0.0195482,2.11438,0.09981
1,84,1,103,8.92736,2.41838,3.52009,0.0263638,2.96253,0.0944266
1,83,1,90,7.97092,2.10859,3.59735,0.0189958,2.24597,0.087743
1,82,1,89,8.13533,2.06745,3.61388,0.019365,2.43464,0.0828453
1,81,1,80,6.51369,1.87582,2.07866,0.0183501,2.54085,0.0851486
1,80,1,99,8.55203,2.35944,3.84574,0.0207438,2.3261,0.0728468
1,79,1,99,6.84354,2.25046,1.89574,0.0272136,2.67012,0.0958742
1,78,1,82,6.12063,1.83835,2.17799,0.0149426,2.08935,0.0342379
1,77,1,87,7.52155,1.98856,3.00191,0.0221136,2.50897,0.086149
1,76,1,102,7.96018,2.32963,2.97262,0.0237908,2.63414,0.0555812
1,75,1,88,8.2158,2.06002,3.80722,0.0196802,2.32888,0.0818457
1,74,1,93,8.31034,2.14779,4.10967,0.0174195,2.03546,0.0341429
1,73,1,108,8.33218,2.59215,3.1473,0.0216119,2.57111,0.0643629
1,72,1,102,8.82195,2.35894,4.30271,0.0183659,2.14193,0.082144
1,71,1,93,6.19301,2.16765,1.92194,0.00834768,2.09507,0.0498669
1,70,1,90,7.56607,2.10544,3.33816,0.0161348,2.10634,0.0842262
1,69,1,92,6.80613,2.08188,2.16065,0.0196559,2.54395,0.0669979
1,68,1,98,9.02411,2.28831,4.38973,0.0192218,2.32685,0.0788492
1,67,0,200,12.182,4.56102,4.0999,0.0157006,3.50535,0.584795
1,66,1,109,8.75809,2.50849,4.14489,0.0190297,2.08568,0.09993
1,65,1,109,9.54117,2.52258,3.89177,0.0264337,3.10038,0.0618374
1,64,1,90,7.62061,2.09212,2.51545,0.0253209,2.98772,0.0786543
1,63,0,200,14.3626,4.5729,6.56057,0.0307157,3.19845,0.460733
1,62,1,91,8.24716,2.10266,3.16337,0.0228255,2.9583,0.0955082
1,61,1,81,6.14477,1.85227,2.16643,0.00652919,2.11955,0.0838307
1,60,1,90,8.02089,2.08228,4.03491,0.0167473,1.88696,0.0719132
1,59,1,92,7.9736,2.14172,3.35058,0.0210899,2.46021,0.0820343
1,58,1,100,7.14212,2.26677,2.33405,0.0235675,2.51773,0.0788206
1,57,1,82,7.983,1.89989,3.42634,0.0205397,2.63623,0.0770204
1,56,1,92,7.61062,2.13526,3.11513,0.0216415,2.3386,0.0497224
1,55,1,88,7.8076,2.05421,3.65638,0.0178715,2.07914,0.0943952
1,54,1,81,7.96123,1.88103,3.48717,0.0204138,2.57262,0.0766741
1,53,1,80,6.58625,1.83868,2.55341,0.0198881,2.17427,0.0432848
1,52,1,85,7.63217,1.9381,3.40709,0.0192674,2.26771,0.0741428
1,51,1,87,7.39331,1.99201,3.49724,0.0143118,1.88975,0.0515636
1,50,1,89,7.90182,2.03681,3.92219,0.016456,1.92637,0.0979352
1,49,1,91,8.1907,2.0752,3.36888,0.0229329,2.72369,0.0943386
1,48,1,98,8.22904,2.2668,3.61015,0.0187216,2.33336,0.0601377
1,47,1,93,6.16514,2.10317,1.31061,0.00833057,2.74303,0.055532
